Background_Color,Text_Color,Contrast_Ratio
#D9D573,#B8940D,1.38
#09E11C,#7A36C4,1.94
#21CF5F,#C3D518,1.19
#9D19C4,#E26062,1.75
#DC4836,#2B0149,4.12
#7D90F5,#408E8E,1.16
#D59ABD,#02703F,1.86
#85C7DC,#F08516,1.24
#2CDAB5,#8F27C4,2.24
#D9E4BD,#15E12C,1.3
#843232,#98BDF8,2.47
#E524EE,#C19EFC,1.77
#A9B346,#AC6381,1.4
#7BE114,#1E8197,1.65
#1FA884,#4D2B7D,2.16
#260462,#C41493,2.58
#35D2DC,#1733D3,2.74
#55458F,#E26EC8,1.7
#2F16AE,#2DEF72,3.95
#424E35,#310BAF,1.98
#774A06,#C9BDA2,2.21
#D3F044,#79A568,1.43
#171738,#671D3C,1.57
#265ACF,#0878D8,1.16
#3A5E8E,#6701AC,2.15
#65CC8C,#185363,2.25
#DB3333,#6FB14F,1.7
#F1B42C,#110F4E,5.99
#1FB5D7,#69CA98,1.16
#E27116,#68D5A2,1.39
#72F037,#9592E4,1.29
#6EBFFE,#6D1DE5,2.61
#ECA3FA,#4356C3,1.93
#D319A0,#DB933D,1.94
#AF9DC6,#A221EE,2.01
#7257CF,#80BDCA,1.66
#AD5C87,#855E18,1.14
#FB1069,#F66689,1.74
#20F92F,#FDE6B9,1.22
#898DA2,#102258,3.3
#1A0985,#2DC48A,5.03
#DD6612,#117ED1,1.1
#4BCAD8,#ACB0DB,1.01
#6990CC,#7EC144,1.19
#46FF89,#80F10A,1.03
#515104,#D1E9BD,2.69
#74F89C,#B035E4,2.16
#744591,#24DEB1,1.97
#956E2A,#52FA19,1.67
#27B961,#AA509C,1.37
#BB3DF6,#B53D45,1.14
#799DC8,#C55DA8,1.24
#DE1870,#99A2C4,2.06
#6D6EB8,#687638,1.04
#BCED46,#CE14DB,2.62
#E0EB4F,#04F5E7,1.14
#162AA8,#236F22,1.71
#A4021F,#B25C4B,2.38
#09D8BA,#4C98E7,1.18
#1C13E9,#72A53C,3.24
#D6E4D0,#9326D2,2.74
#F62709,#857BBA,1.52
#902D66,#ABBBA6,2.35
#D0B9AB,#F0E902,1.14
#E5830C,#BBFD9B,1.57
#C13B13,#3913D2,1.82
#784F71,#BEA031,1.66
#ACC787,#6CFFB4,1.15
#251C93,#23920F,2.45
#A72342,#B44999,1.46
#06F07C,#196C36,1.96
#C5B661,#D34A22,1.7
#169D86,#87480B,1.49
#C9CE61,#223F4E,2.97
#AE3D95,#CB0873,1.49
#36A935,#F6A1BF,1.3
#5BB640,#B3EC0D,1.32
#9949E9,#EE8E59,1.5
#6E4A53,#2AC7C2,1.87
#289BBE,#9F07F9,2.1
#2C5B9E,#BF1AD0,1.13
#B2611A,#BFD35E,1.73
#D0F14E,#086DA8,2.25
#35D8EF,#D7DFE1,1.2
#CC8CA6,#72A2E2,1.01
#3CF918,#17040F,9.51
#34B2B1,#D36EB4,1.1
#2FD367,#315505,2.15
#193616,#A35416,1.87
#6C0F6A,#6A7272,2.31
#FD4BCE,#CB4F1E,1.18
#F07080,#90D33C,1.3
#CF6A21,#B7ADE3,1.42
#CD1EDA,#87B14A,1.85
#AAC86F,#85619B,1.64
#A5269B,#B64A88,1.32
#B41194,#B40BCC,1.0
#1BBAA5,#84329D,1.86
#889C56,#40052D,4.81
#E20308,#69C316,2.77
#FC0159,#962568,1.07
#33FFA0,#64C010,1.26
#6BD191,#BEEDF2,1.23
#10CA8D,#4B2EE3,2.19
#66A6A4,#AB3576,1.73
#3F219C,#997DF2,2.49
#6BDC28,#D5BE04,1.01
#4889AC,#890CF7,2.03
#6DC324,#F663D6,1.18
#9E7A02,#020150,6.8
#E786B9,#CF4889,1.45
#BE24D6,#962E34,1.16
#E6F05A,#462E64,3.54
#71CB65,#A1492B,1.85
#847694,#061816,4.15
#DE002C,#9AF69F,3.69
#2D8C34,#69A491,1.29
#85F6C4,#3F6BA9,2.01
#8CCE7B,#CD9A1C,1.18
#88857E,#822E29,1.91
#FC0B35,#AC704A,1.73
#E5518A,#5AD1C1,1.51
#E67E61,#7DDD50,1.28
#91C4B7,#D95873,1.51
#D19214,#DB2955,1.72
#3CAAF1,#AFD899,1.31
#63E834,#70DFCE,1.04
#608E19,#C1894E,1.15
#26B620,#843833,1.81
#0AF0DB,#24EFB7,1.01
#D7F799,#F4B0C3,1.2
#D9FC26,#E12194,2.55
#79052B,#17D2B4,4.0
#9AD282,#50D7C8,1.04
#767C15,#5FFE87,1.75
#48B54A,#78BF4C,1.11
#FCF520,#98BDC2,1.26
#0701B7,#F72D3D,3.62
#B451E1,#6338E1,1.39
#9D731D,#6B6933,1.14
#46DE7B,#6535CD,2.25
#650206,#4B3827,1.98
#27B5CC,#186FB5,1.5
#637808,#B466BD,1.14
#5127D0,#3132B0,1.02
#C94EDC,#549832,1.12
#F48DBA,#4E09F8,3.33
#B3CAB2,#107C20,1.94
#6AD601,#E76168,1.36
#0785D8,#663F5B,1.45
#0F2092,#95C0B1,3.94
#CCBDFD,#F42972,2.05
#19478C,#C99B9E,2.25
#0BF609,#8465D4,1.49
#6E7314,#845CDF,1.02
#D7E6CF,#6736E6,2.65
#D924D9,#134A7D,1.27
#232EA3,#B2B357,2.85
#7A2373,#2589CD,1.85
#9B68F8,#A37A9D,1.06
#6B1E23,#23E01C,3.07
#7F4FB5,#FE83FD,1.63
#1E71D0,#C1CC8E,1.83
#5AEEE0,#1E4C50,2.75
#F7C9B0,#5A06E6,4.2
#6E7778,#9C42E3,1.19
#DE6E2B,#8DCBCF,1.43
#6D0D98,#BE19B7,1.5
#028966,#75BB4A,1.49
#E06B60,#13C45B,1.14
#70F37D,#2C2336,4.3
#E234BD,#285F37,1.2
#C605E1,#041345,2.32
#0004E3,#7C362A,2.52
#485FF5,#92C889,1.73
#A8B566,#DE4B84,1.5
#8EB42D,#E50CCA,2.07
#BBC771,#482BEF,2.67
#1566E9,#21235E,2.07
#A8EF6B,#2F3B05,3.48
#EFFC2E,#AC8EDD,1.48
#D15F2E,#72C34A,1.42
#DD9071,#00281C,3.94
#B98B66,#59C0F2,1.17
#CF458B,#681F05,2.02
#645EBC,#CC0434,1.83
#8E8496,#AFC6DB,1.4
#CCB3A0,#098259,1.72
#929CAA,#9AE452,1.28
#592B3E,#6E6E42,1.79
#C5467F,#422019,2.21
#006578,#6A2595,1.29
#E92B68,#9DB8E8,1.93
#093B4A,#73C247,2.91
#257876,#B795F6,1.53
#B5E081,#5DB758,1.3
#7260D9,#559650,1.19
#3222C3,#B0773A,2.26
#1BCD61,#AF818A,1.13
#7EEE2E,#7A0D16,4.3
#219042,#27E2E0,1.56
#1BD576,#57C7E6,1.06
#B3728D,#B5EE56,1.6
#EEE550,#40928F,1.65
#FCBB63,#39ADA5,1.29
#BD243C,#E528A2,1.23
#AA23F2,#B17A14,1.52
#BBEFB6,#254E3A,2.94
#14781B,#B4E8C8,2.21
#5AD1F2,#AA2762,2.37
#512377,#4D05C6,1.35
#B2BFFB,#AD5DD0,1.57
#5EDD76,#57ABDB,1.18
#EC1F44,#9EC6A3,2.22
#0C93AB,#570817,3.44
#B06745,#8F3832,1.48
#497633,#877C22,1.14
#07885A,#ED2FE2,1.04
#E2A9EF,#279A09,1.51
#CDEC54,#C947E6,1.88
#FFD4B8,#A2E62E,1.08
#A83B3A,#AE6089,1.35
#AC1135,#B7CF23,3.1
#08AD73,#F3FC46,1.7
#EE7C9D,#B9D8A5,1.34
#969298,#9507C4,2.52
#EC2BE3,#82A4A8,1.54
#B7C623,#A31CD1,2.37
#F76B12,#241C24,3.33
#3F864B,#3F59CF,1.22
#6CDEF0,#65B6E0,1.17
#1D2C1E,#766EB8,2.47
#43C83E,#45E78D,1.16
#C23CF5,#1641E1,1.43
#7DF899,#6B665C,1.98
#FA6195,#FD8A6C,1.18
#8C0B5A,#48333A,1.21
#261089,#6EBDCA,4.41
#2F4F91,#B53313,1.01
#641EAF,#28D011,2.51
#3332B5,#6BEBF9,3.06
#F475B8,#384A85,1.85
#E8E69D,#CBB10B,1.3
#3C119E,#897AC4,2.92
#BAEB07,#09E03C,1.23
#E22D76,#EABE71,2.03
#D6AE42,#FEACB7,1.08
#1B8C9F,#9DD273,1.57
#56F2F0,#F50AA8,2.63
#A894DF,#1B0341,6.73
#867C48,#BE4503,1.32
#C9CC12,#8974A5,1.48
#FC51B3,#A60BBC,1.97
#28D696,#6B5D70,1.68
#948B25,#FDBB54,1.41
#998023,#764476,1.47
#05F508,#217DA8,1.56
#BDF540,#905672,2.06
#4BB244,#2D42F7,1.84
#16E156,#F5D247,1.19
#8A1419,#D865A4,2.45
#9211EF,#28CBA8,2.44
#F07266,#AB22D4,1.72
#EB2068,#347DEB,1.4
#2DD248,#264321,2.5
#FF87EA,#8A5995,1.55
#7A703B,#CAE3DF,1.9
#59A848,#D3B2A2,1.25
#9584E8,#3E9D8B,1.05
#1D25B6,#2DF822,3.45
#C2B01B,#D188FA,1.05
#A8AF91,#5339AC,2.2
#92734C,#DDEDD9,1.86
#7094F0,#A00240,3.02
#740CB5,#23FEF2,3.71
#772259,#F40CD1,1.28
#EE1107,#6A5B4F,1.4
#5FF8D4,#AC531A,2.04
#45679D,#A11523,1.74
#FDAD79,#1B11E9,4.19
#F6EC8A,#BC605B,1.91
#5F0BED,#110101,3.38
#495EC3,#623CF9,1.16
#257727,#59F967,2.0
#3F660F,#C1EEB0,2.36
#05B359,#69DFE9,1.43
#BD46B5,#228682,1.08
#E651F0,#A1585E,1.17
#ADA6BC,#5970ED,1.41
#239754,#88D420,1.46
#8C40D1,#EE418F,1.16
#80448D,#231387,2.27
#C6EF01,#501687,4.09
#7DF61C,#E6301D,2.22
#1D1BEB,#9FE484,3.97
#C71BFA,#415E62,1.09
#32D5DD,#AACF1B,1.04
#B9F4F6,#88C790,1.26
#9AB84D,#8BDFE9,1.2
#AF9FE5,#031445,5.52
#1BF71D,#3A7EBB,1.53
#078461,#58AF8A,1.44
#758AFC,#9D56D9,1.25
#FAAF4F,#B22433,2.46
#4F7C2B,#51A020,1.21
#06DD8E,#7A8C7E,1.23
#AD5917,#B51AA8,1.4
#5508F0,#4C8930,2.42
#62CCF4,#014956,2.76
#3F48A6,#699238,1.6
#D4BFDD,#C9F619,1.11
#715D2D,#87EBF7,2.13
#4473A0,#FFC32B,1.73
#E500CA,#F9AD8D,2.63
#22BF98,#6815F6,2.48
#BC6A8A,#7DE087,1.51
#698DEA,#3FD7EC,1.29
#706EB5,#E79D85,1.43
#504404,#0DC3F1,2.19
#3F6E5F,#A89CE5,1.58
#11558A,#3078E4,1.44
#6387EC,#FEFADC,1.77
#E89D92,#41D340,1.02
#83FF24,#279FDA,1.5
#1EA18A,#EEDDCC,1.64
#7C1152,#7BA1BA,2.93
#D7CBC3,#C8639C,1.59
#D3646E,#532B71,1.98
#9B4727,#B53885,1.02
#264AA2,#F02100,1.02
#E59837,#4054F1,1.68
#FE6052,#ECFC09,1.73
#DEE7AF,#096AA3,2.33
#C3D7B9,#77EA57,1.05
#E9E233,#EBEC1C,1.03
#B02EC7,#204797,1.2
#C88C63,#38F370,1.27
#346107,#DBE415,2.39
#D2220F,#7E8660,1.72
#5DCB21,#76FC4F,1.24
#CB55C1,#92590C,1.21
#1238FC,#34A10B,1.87
#C93A7F,#22AB30,1.37
#8E23C1,#F09575,2.18
#1C66DD,#77409E,1.13
#23CF01,#D6A43F,1.07
#79EC75,#9B0D12,3.83
#84539B,#D74071,1.01
#174F65,#B901E7,1.17
#0225E1,#B23392,1.75
#9432AD,#FA6526,1.52
#B9CCCD,#FE816E,1.27
#494E69,#C2F2C0,2.63
#CEF5E7,#67DDCB,1.2
#003A67,#91A135,2.64
#2F1C3B,#79D462,4.19
#1DC27A,#AA39E5,1.57
#6CDA9D,#47D22F,1.12
#9103BB,#4D2DA8,1.24
#392C93,#3DA10B,2.12
#0ACE12,#A9E23E,1.31
#2C7A72,#138367,1.0
#C98B52,#E3FDE3,1.61
#CBD84C,#2CA683,1.44
#43EF89,#EE3C90,1.78
#9B5943,#C66563,1.18
#6F731B,#6176FE,1.13
#051483,#54EFA5,5.68
#0F0E7A,#8A7591,3.92
#C0AE89,#FD63CD,1.24
#755042,#8BA97A,1.73
#441AFF,#41FFCC,3.48
#07C035,#0DE7DB,1.26
#9F8B96,#C82CF8,1.5
#8795A2,#686848,1.4
#916845,#A4D78A,1.72
#F9E897,#9DA1C5,1.38
#836858,#CD7632,1.19
#61EAAA,#F3380C,2.02
#5E37D1,#ECD955,2.57
#9D20A8,#384E8D,1.12
#2726D4,#4B9263,2.21
#7E6992,#F5FB74,2.02
#BC6F96,#32D740,1.27
#7C0397,#D821C8,1.85
#91C791,#F2C54F,1.07
#923534,#7B84E8,1.76
#AE67ED,#C71AD0,1.58
#0588CE,#713F5F,1.42
#9AFC3D,#421152,5.13
#A889A3,#5F5013,1.73
#BB1AF6,#35D42E,2.01
#00DAB9,#8387C2,1.2
#6EDDAE,#24A00B,1.52
#9CDEF6,#495AFB,2.01
#156AD3,#1D94A0,1.26
#9F0D6A,#9F088A,1.02
#CCF4BA,#D7F7A4,1.01
#08FDF4,#B5BF16,1.12
#DC6591,#F20224,2.08
#CF8DE7,#7C3F2F,1.99
#93F7A0,#9B287B,2.79
#E6DF7A,#E8F008,1.02
#6C9EAC,#8DFBFB,1.49
#B01737,#C7B4B1,2.78
#57FCCC,#8E6247,1.91
#3D423E,#28E99E,2.58
#9DB519,#257D32,1.56
#B92194,#A3EE7A,2.62
#7E23DA,#CFF2B6,3.03
#C9C614,#5DA92D,1.27
#129F57,#14A953,1.05
#D13576,#1BE57C,1.85
#AB0B11,#5AC8F4,3.31
#10DEBE,#114F64,2.36
#0FC50A,#89E7E1,1.42
#AF2B2B,#B893D6,2.06
#312442,#D4316F,1.88
#64C607,#B3CF07,1.13
#02980A,#B434F0,1.16
#AF542C,#60B30D,1.43
#E249E8,#84A288,1.28
#76689F,#599EF5,1.31
#AF4A43,#E81E39,1.23
#CF3DF9,#47DB54,1.61
#967CAE,#7E83AC,1.0
#CF45B5,#F7F12D,2.02
#0E4411,#27A787,2.29
#8850C9,#4E4F0B,1.31
#466A94,#C10FE1,1.41
#E990DD,#43CFA9,1.03
#A7018C,#5C8F04,2.28
#965524,#E6B601,1.78
#F5F49F,#AA62F8,1.83
#15E0DF,#1D9533,1.5
#E2F871,#2A27B0,3.96
#A5309A,#626F90,1.32
#E3E61A,#C1D20B,1.11
#F0E825,#ED6BA4,1.53
#3C9D50,#05EC6F,1.33
#A15079,#1485C9,1.12
#CCAA9F,#D393EF,1.05
#B36E49,#AD704E,1.0
#EA5541,#60941A,1.1
#EA7DA8,#B8DE20,1.3
#9F9F39,#0DDEC4,1.15
#6752D9,#A14A8C,1.01
#2CA18F,#9F827C,1.01
#78F9A3,#27960B,1.77
#449D57,#81139E,2.24
#706CBC,#B45ADE,1.03
#863AA2,#F2D36E,2.36
#5BD145,#946D3A,1.48
#3EB552,#4EACC2,1.03
#307402,#3A02DE,2.49
#F6EEF8,#750ACA,4.26
#99ABF0,#F1ED8C,1.32
#E8EE61,#5BA82A,1.54
#E162FB,#C45D1A,1.21
#0DC5A5,#E105D8,2.11
#E4C9B7,#C7EF8C,1.08
#05C5BB,#628317,1.3
#AE8200,#9BB4F5,1.35
#FC227A,#A34D30,1.07
#7A1FA9,#70FD5F,3.07
#FB6E92,#A5ABCD,1.19
#977D58,#6924C2,1.88
#539E38,#06CEEA,1.21
#CD3661,#CF63EE,1.42
#564770,#3F4725,1.13
#0BFBE7,#F73834,1.94
#2074E5,#CE4B7C,1.0
#BAB0BC,#6C1CC2,2.75
#90669C,#F9E4B8,1.9
#BFB1B4,#75EB3E,1.09
#AED332,#08B3F0,1.28
#39A9E9,#44689A,1.44
#1F07AD,#31796A,3.19
#9AECC4,#EF691B,1.62
#4BE83D,#D59BA5,1.1
#672D59,#37A2C6,2.11
#0F4ED9,#706291,1.34
#DF8B3D,#04E715,1.1
#288507,#B7B269,1.6
#D99831,#744A38,1.81
#BF712E,#5C0087,3.27
#F3DEB4,#BE6DAA,1.65
#FE8DBC,#AF0867,2.87
#24B8B8,#733BD7,1.74
#72E234,#B65D43,1.65
#496881,#D644FF,1.12
#A9CC6F,#A025EC,2.24
#83C9CA,#E476C8,1.24
#953BF0,#A85DA0,1.22
#02358E,#81BFDC,3.14
#968B20,#A27F6B,1.0
#1BD23C,#7BFA65,1.3
#C6E05C,#15E02F,1.23
#029ACB,#7A32BC,1.57
#F55092,#ABDC0F,1.57
#CF97C3,#35ADD5,1.1
#89F3BC,#8820E3,2.83
#34EA54,#826DD4,1.48
#C28FDD,#C1DA12,1.23
#8414E8,#1B87AB,1.77
#9365BE,#488D6F,1.05
#951BF7,#686EB9,1.56
#E57AC3,#E9EAEB,1.52
#7F4BC5,#0DD1F0,1.69
#DB29B7,#EA9B08,1.71
#94933B,#CD8B22,1.03
#352F62,#7D315D,1.25
#19EFF9,#0E0E3D,6.87
#B0FBF2,#89D2D0,1.19
#B494F3,#32679D,1.61
#0F70E6,#D8B58D,1.76
#B9DC2A,#D4F2AE,1.15
#DE4B92,#9323D2,1.47
#D72F3D,#427CA3,1.32
#2ADAF4,#D9F888,1.26
#CD7A40,#DF8E94,1.16
#66838F,#1946CB,1.67
#FD71B0,#F648EC,1.2
#663892,#59FB50,2.55
#EA037B,#F867EC,2.12
#2C746D,#44967F,1.27
#2F44B5,#EC777A,1.86
#A1EDB8,#C7708E,1.58
#7C0A71,#39A29E,2.8
#C05D36,#9935E2,1.25
#F53D2A,#976048,1.06
#BE88EA,#BB06E3,2.29
#4D3432,#F1F212,3.41
#3DDB91,#76D585,1.04
#7D2985,#902077,1.05
#18BBAD,#82AE0A,1.01
#DCA256,#9E60DD,1.39
#C89B0D,#8A9C5D,1.04
#2249AC,#747823,1.49
#D1C235,#D8EA9A,1.19
#168F42,#3EE3C5,1.63
#5F3CE7,#38AE13,1.63
#9C1A3B,#45FB0C,3.02
#F64C10,#FA786E,1.32
#8D6DC5,#070290,5.18
#A9612D,#FD9298,1.5
#BDAF75,#AFCF87,1.11
#88F254,#7954B4,1.98
#565B07,#8DFB30,2.34
#D4AAE7,#6308B1,3.75
#548495,#26754C,1.23
#301DFA,#33711D,1.72
#5BFF15,#928248,1.52
#62335B,#507A5A,1.61
#2DDB3C,#F9B0E0,1.13
#69622F,#FD6494,1.37
#E32F2E,#5EB317,1.66
#8B2A38,#8D4362,1.28
#310483,#DB9772,4.95
#1430D0,#8AB56A,2.7
#5CE943,#8DC408,1.11
#E2753D,#2FBC27,1.07
#B8EE0D,#839CE3,1.32
#FBB6AB,#0550C6,2.45
#4F5B8E,#03F943,1.87
#0AA001,#B7AA76,1.4
#A33B42,#18ED1C,2.01
#727907,#681237,2.4
#CFB741,#7BEF19,1.1
#C8DBFE,#B3DEC7,1.03
#993A76,#D8C6C2,2.25
#48DF54,#C63B73,1.84
#60671B,#77D86A,1.84
#55A8D8,#FB98B0,1.13
#170E24,#3B1A23,1.53
#BAED0D,#2DEA51,1.14
#9578D1,#C2BC2A,1.32
#655EFA,#5C8539,1.1
#C0253E,#70EC82,2.54
#CED663,#35B16B,1.37
#8ACF07,#AB63DE,1.4
#40BCEB,#95A346,1.07
#10AE27,#BF9CB2,1.24
#924D0B,#708A45,1.41
#DEB52A,#B80F45,2.85
#20A2F7,#DC153A,1.95
#749CB0,#EECA99,1.35
#D58453,#8F91AA,1.0
#485EF1,#685C1E,1.1
#FF63E2,#767520,1.24
#D64DBF,#C65716,1.07
#1857B4,#40276B,1.5
#B29D83,#914672,1.69
#63DB08,#8291B3,1.22
#0D54B8,#E27CC4,1.84
#C57390,#54E810,1.34
#6A29AE,#C8D061,2.73
#D3589E,#346CC1,1.15
#CE7710,#3754F3,1.4
#CD99E7,#63D900,1.04
#3A5962,#D14914,1.16
#87703D,#50253D,2.08
#CC528E,#7B883D,1.12
#8C24B3,#1ECD32,2.09
#B7CB84,#40271B,3.67
#D4C5A6,#FEAD56,1.07
#E4BD44,#B5F143,1.13
#FB4E95,#AEB5F2,1.48
#8B786B,#301FB5,2.33
#218621,#AC8634,1.26
#FDBEF9,#F3D010,1.03
#B87E9E,#4A7C04,1.31
#F6F476,#EAEF9A,1.01
#459BBD,#7DD7CD,1.37
#C03983,#96E0AA,2.09
#20DDC6,#757086,1.51
#67245F,#BEE646,3.31
#335FC7,#3AB679,1.55
#C79FEA,#216B0D,1.91
#CD0C20,#3BE262,2.89
#6D0A68,#D3A3CF,3.74
#F29A1B,#EE406A,1.51
#41D4F6,#82BE28,1.09
#DF6780,#4F0B21,3.6
#238B58,#48F4F9,1.75
#1CAE08,#5988AC,1.02
#EEB72F,#1F027B,6.66
#51492E,#1CD67E,2.12
#99FF5B,#AEDD0B,1.12
#3C6C40,#EAA034,1.68
#D5E313,#3CC512,1.32
#BCA122,#EDA4FF,1.17
#1B3198,#C3A42E,2.71
#1ECBFD,#8E4B2D,1.83
#28990A,#99D623,1.53
#DA9817,#330319,6.15
#2CF924,#6EB23F,1.21
#BC88D8,#52D926,1.14
#917B9D,#3DBAE7,1.23
#D089F3,#806BCB,1.32
#79BE73,#1E634B,1.92
#0BBB15,#418D55,1.13
#B0B382,#9AA59F,1.07
#5A75CD,#98C7F5,1.57
#B33073,#11F90C,2.09
#68A3FC,#0E67A4,1.68
#D42D66,#6947CD,1.03
#C59480,#01D087,1.01
#BDB45E,#5B6C9D,1.56
#6AFF2E,#B98D9C,1.35
#0F9930,#6A5C9E,1.15
#7E1E48,#F2EC0C,3.53
#4E391E,#B87D67,2.06
#FC4472,#DA046D,1.76
#4F46B7,#CAAE14,1.96
#220A27,#7291CA,5.19
#1771FF,#FC4531,1.02
#9D5A8F,#AFBB02,1.52
#17EDBF,#D69D41,1.15
#B29C7F,#490254,4.79
#82EFCB,#107FFE,1.8
#D85326,#4AFBF9,1.87
#DE3BAF,#E5D955,1.94
#AC6292,#BA7039,1.05
#3A303A,#DCB74A,3.08
#8E68AD,#CBD0B5,1.68
#D5B04B,#1F111B,5.66
#8B822E,#42519D,1.44
#2F89E2,#FBA085,1.39
#1CF0BF,#5673C4,1.6
#CD8D32,#CE8BF5,1.08
#57FA89,#377B39,1.89
#DC8141,#C9D786,1.4
#B6A155,#A61803,2.64
#C107DA,#25F316,2.63
#7CC873,#8B9890,1.18
#E32D1E,#859572,1.63
#31FC32,#02D8B4,1.15
#E01AE6,#90B776,1.91
#C16875,#AAD916,1.51
#BFD0DB,#2FC912,1.3
#AC459F,#AFA7BE,1.66
#DDEF12,#E1C45A,1.12
#AC0568,#3830C1,1.21
#F05A07,#A865EA,1.07
#F08294,#255615,2.0
#E12FBE,#530B40,2.52
#EA308B,#E99802,1.6
#9A38EF,#053FAB,1.44
#4C53D7,#899228,1.44
#B77D9D,#6A47D7,1.5
#408EBC,#8DF5F8,1.67
#8AD37F,#8E3B45,2.24
#383B41,#CB7258,2.01
#7DEF1A,#69A05D,1.36
#BE140E,#2D9966,2.03
#BC4416,#52BC4C,1.65
#217AD9,#7CFC1F,1.81
#00B3D5,#624C2E,1.71
#280764,#25D1A3,5.43
#845114,#12000B,5.77
#246357,#9E0C21,1.7
#030A0F,#436FAD,5.5
#C377EF,#839E9B,1.05
#E46EB3,#71B149,1.1
#0E0C2E,#85B28D,6.46
#FAB51E,#031306,7.21
#F3EED8,#82396B,2.82
#4293AA,#082F4D,2.69
#E6B257,#C2E0AF,1.16
#63C187,#43C2E6,1.0
#3647F1,#8EBA3B,1.95
#335D38,#4505EB,1.96
#AAC9A2,#ACF4C0,1.16
#E568D7,#9AF103,1.44
#B7840B,#628A22,1.09
#2957EE,#1663F8,1.05
#BD854B,#10A11B,1.15
#817D35,#B0540B,1.2
#B50185,#8E80F5,2.47
#8CE2D6,#D6ECA4,1.09
#FF22FC,#BF4C2D,1.01
#C857EF,#A6B861,1.39
#6EEC9D,#0114BF,5.27
#990C35,#DCD0AA,3.82
#508173,#D07613,1.1
#A9CADB,#1286F4,1.61
#44BD34,#8ED734,1.21
#4668DD,#1AA891,1.26
#A7C86B,#DF8828,1.24
#2A2B18,#BEF3D1,4.47
#4A944D,#07110E,5.1
#DF912E,#25BB6C,1.03
#B76459,#32603E,1.34
#EC06AF,#3E23AC,1.26
#580337,#89CCA1,5.31
#6C6645,#BA13D1,1.4
#EE65C9,#EEAD00,1.25
#3E9918,#85675A,1.13
#02E161,#294D75,2.13
#061D9D,#355480,2.02
#923AE7,#7E5B61,1.09
#937488,#595B5A,1.32
#898C44,#6C269B,1.98
#693696,#79766E,1.55
#C2F756,#6DE6E5,1.09
#E744F6,#E35AB1,1.08
#67A6D7,#C2D24E,1.24
#8C91D3,#75660F,1.45
#351022,#647287,3.3
#60E9AC,#5CAFC5,1.24
#39CDFB,#0895FE,1.36
#322D49,#40B0CE,2.75
#4DF7A9,#7B559F,1.96
#FD75E1,#844E67,1.6
#FBC317,#495710,2.26
#A624A1,#1ED413,2.02
#05F1D8,#99F974,1.15
#C58B79,#13E68C,1.18
#F7640D,#8E7DE0,1.08
#BA9862,#429BBB,1.11
#415D02,#9DF7DE,2.56
#9A5261,#E4DAC8,2.08
#380252,#6C2736,2.11
#FD25F8,#9E3657,1.22
#34C01B,#C05EDC,1.19
#FD297B,#A58C8D,1.51
#F5746E,#F29496,1.16
#19DAA9,#661FBC,2.65
#607DAD,#4DFD1F,1.57
#FF28B6,#77AE28,1.52
#E5ACDD,#F34B10,1.68
#516DD2,#3CE10F,1.52
#16D4DB,#BB8293,1.18
#9DC171,#8457E2,1.61
#BB5603,#782AB5,1.4
#235CB4,#38F773,2.12
#3EA3AD,#75F827,1.41
#D2627C,#09A46D,1.02
#15B354,#0C5F67,1.67
#9EFEBE,#07A4E9,1.63
#106E21,#409702,1.38
#365E42,#5E08AA,1.9
#7DEFD1,#7AB9CE,1.21
#0B65AC,#BA476F,1.11
#BFCF72,#11A802,1.53
#28DF89,#C394E2,1.08
#0FD278,#8BDC91,1.2
#48CDA9,#CD9ED9,1.01
#7F0739,#57F480,4.4
#C3241F,#05BBDB,1.99
#642906,#025508,1.17
#42A419,#277D55,1.25
#FFD9B9,#AA0501,4.48
#7AAB7E,#D82A49,1.81
#331129,#8811D9,1.8
#F116C3,#CF8C83,1.77
#DAEFBC,#F12F97,2.25
#7D7AD4,#C75F24,1.13
#E83B9C,#025D3F,1.37
#638F56,#29FF94,1.51
#8ABE4B,#CB20B9,1.99
#88A630,#128EA3,1.26
#A1E6D9,#E1089C,2.93
#0B8D59,#531658,2.33
#3B3CB5,#A5417B,1.27
#183756,#A81CEB,1.35
#E6C3CB,#1C3E37,3.22
#FAE355,#D5A91F,1.29
#3732B4,#2E9E57,1.94
#681016,#F7C248,4.37
#288C47,#6BC3B1,1.48
#C448EB,#D39616,1.35
#8834BB,#E6FE19,2.65
#48745F,#4DD266,1.58
#D34BD0,#C4CC83,1.66
#BAA48C,#23A348,1.27
#AC9381,#49982E,1.17
#BDC5E4,#BAF690,1.13
#20FBAA,#628B14,1.57
#3428A6,#E1FE4C,3.85
#060A46,#A854BF,4.66
#83FA3E,#18A83C,1.57
#2DC275,#83DD94,1.23
#370EAE,#BBCAB6,4.47
#BB63B7,#C83838,1.37
#5F7DF7,#F1C2AA,1.53
#652909,#5BFC7A,3.44
#F1D311,#2383FE,1.63
#969FD4,#D45D6C,1.31
#CBC1F2,#986F37,1.65
#F1803A,#FF170C,1.9
#A1A55B,#1A7A20,1.59
#D3B658,#104F41,2.51
#DC28BD,#0FFDD2,2.08
#94F017,#C4E06E,1.02
#370A51,#4931F3,2.16
#58FDBC,#1060A7,2.33
#439597,#3FFDE7,1.55
#40AE67,#E72490,1.61
#D6FEF5,#4438B0,3.22
#80E7A6,#1C08B1,5.84
